iter	Passed	Remaining
0	0	72
1	1	62
2	1	60
3	2	56
4	2	54
5	3	53
6	3	51
7	4	50
8	4	49
9	5	48
10	5	47
11	6	47
12	6	46
13	7	46
14	8	46
15	8	45
16	9	44
17	9	43
18	10	43
19	10	42
20	11	42
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	17	36
32	17	36
33	18	35
34	18	35
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	21	31
41	22	30
42	22	30
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	22
58	30	21
59	31	20
60	32	20
61	32	20
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	9
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	46	5
89	47	5
90	47	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	50	1
97	51	1
98	52	0
99	52	0
